Code,Name
1,"Agriculture, forestry and fishing"
2,Mining and quarrying
3,Manufacturing
4,"Electricity, gas, steam and air conditioning supply"
5,"Water supply; sewerage, waste management and remediation activities"
6,Construction
7,Wholesale and retail trade; repair of motor vehicles and motorcycles
8,Transportation and storage
9,Accommodation and food service activities
10,Information and communication
11,Financial and insurance activities
12,Real estate activities
13,"Professional, scientific and technical activities"
14,Administrative and support service activities
15,Public administration and defence; compulsory social security
16,Education
17,Human health and social work activities
18,"Arts, entertainment and recreation"
19,Other service activities
20,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
